url,ruta,categoria,is_final
https://www.6pm.com/rag-bone-men-sunglasses/CKzXARCq2QFaAvohwAEC4gIEAQILGA.zso?s=isNew/desc/goLiveDate/desc/recentSalesStyle/desc/,"Eyewear,Sunglasses,Rag & bone,Men",Men's rag & bone Sunglasses,True
https://www.6pm.com/men-reading-glasses/CKzXARCo2QEYrNkBwAEC4gIEAQIDGA.zso?s=isNew/desc/goLiveDate/desc/recentSalesStyle/desc/,"Eyewear,Glasses,Reading Glasses,Men",Men's Reading Glasses,True
https://www.6pm.com/oakley-men-goggles/CKzXARCp2QFaAooDwAEC4gIEAQILGA.zso?s=isNew/desc/goLiveDate/desc/recentSalesStyle/desc/,"Eyewear,Goggles,Oakley,Men",Men's Oakley Goggles,True
https://www.6pm.com/electric-eyewear-men-goggles/CKzXARCp2QFaAosLwAEC4gIEAQILGA.zso?s=isNew/desc/goLiveDate/desc/recentSalesStyle/desc/,"Eyewear,Goggles,Electric Eyewear,Men",Men's Electric Eyewear Goggles,True
https://www.6pm.com/spy-optic-men-goggles/CKzXARCp2QFaAogLwAEC4gIEAQILGA.zso?s=isNew/desc/goLiveDate/desc/recentSalesStyle/desc/,"Eyewear,Goggles,Spy Optic,Men",Men's Spy Optic Goggles,True
https://www.6pm.com/the-book-club-men-reading-glasses/CKzXARCo2QEYrNkBWgKaKcABAuICBQECAwsY.zso?s=isNew/desc/goLiveDate/desc/recentSalesStyle/desc/,"Eyewear,Glasses,Reading Glasses,The Book Club,Men",Men's The Book Club Reading Glasses,True
https://www.6pm.com/saint-laurent-men-reading-glasses/CKzXARCo2QEYrNkBWgKwIsABAuICBQECAwsY.zso?s=isNew/desc/goLiveDate/desc/recentSalesStyle/desc/,"Eyewear,Glasses,Reading Glasses,Saint Laurent,Men",Men's Saint Laurent Reading Glasses,True
https://www.6pm.com/alexander-mcqueen-men-reading-glasses/CKzXARCo2QEYrNkBWgKFEMABAuICBQECAwsY.zso?s=isNew/desc/goLiveDate/desc/recentSalesStyle/desc/,"Eyewear,Glasses,Reading Glasses,Alexander McQueen,Men",Men's Alexander McQueen Reading Glasses,True
https://www.6pm.com/quay-australia-men-reading-glasses/CKzXARCo2QEYrNkBWgLkIMABAuICBQECAwsY.zso?s=isNew/desc/goLiveDate/desc/recentSalesStyle/desc/,"Eyewear,Glasses,Reading Glasses,QUAY AUSTRALIA,Men",Men's QUAY AUSTRALIA Reading Glasses,True
https://www.6pm.com/eyebobs-men-reading-glasses/CKzXARCo2QEYrNkBWgL4G8ABAuICBQECAwsY.zso?s=isNew/desc/goLiveDate/desc/recentSalesStyle/desc/,"Eyewear,Glasses,Reading Glasses,Eyebobs,Men",Men's eyebobs Reading Glasses,True
https://www.6pm.com/ray-ban-men-reading-glasses/CKzXARCo2QEYrNkBWgKrEcABAuICBQECAwsY.zso?s=isNew/desc/goLiveDate/desc/recentSalesStyle/desc/,"Eyewear,Glasses,Reading Glasses,Ray-Ban,Men",Men's Ray-Ban Reading Glasses,True
https://www.6pm.com/le-specs-men-reading-glasses/CKzXARCo2QEYrNkBWgKKHsABAuICBQECAwsY.zso?s=isNew/desc/goLiveDate/desc/recentSalesStyle/desc/,"Eyewear,Glasses,Reading Glasses,Le Specs,Men",Men's Le Specs Reading Glasses,True
https://www.6pm.com/gucci-men-reading-glasses/CKzXARCo2QEYrNkBWgL5FsABAuICBQECAwsY.zso?s=isNew/desc/goLiveDate/desc/recentSalesStyle/desc/,"Eyewear,Glasses,Reading Glasses,Gucci,Men",Men's Gucci Reading Glasses,True
https://www.6pm.com/prada-men-reading-glasses/CKzXARCo2QEYrNkBWgL3FMABAuICBQECAwsY.zso?s=isNew/desc/goLiveDate/desc/recentSalesStyle/desc/,"Eyewear,Glasses,Reading Glasses,Prada,Men",Men's Prada Reading Glasses,True
https://www.6pm.com/diff-eyewear-men-reading-glasses/CKzXARCo2QEYrNkBWgKcJsABAuICBQECAwsY.zso?s=isNew/desc/goLiveDate/desc/recentSalesStyle/desc/,"Eyewear,Glasses,Reading Glasses,DIFF Eyewear,Men",Men's DIFF Eyewear Reading Glasses,True
https://www.6pm.com/eyebobs-men-sunglasses/CKzXARCq2QFaAvgbwAEC4gIEAQILGA.zso?s=isNew/desc/goLiveDate/desc/recentSalesStyle/desc/,"Eyewear,Sunglasses,Eyebobs,Men",Men's eyebobs Sunglasses,True
https://www.6pm.com/men-bucket-hats/COfWARCJ1wEYn-0BwAEC4gIEAQIDGA.zso?s=isNew/desc/goLiveDate/desc/recentSalesStyle/desc/,"Accessories,Hats,Bucket Hats,Men",Men's Bucket Hats,True
https://www.6pm.com/men-sun-hats/COfWARCJ1wEY-ewBwAEC4gIEAQIDGA.zso?s=isNew/desc/goLiveDate/desc/recentSalesStyle/desc/,"Accessories,Hats,Sun Hats,Men",Men's Sun Hats,True
https://www.6pm.com/men-earmuffs-and-headbands/COfWARCJ1wEY8-wBwAEC4gIEAQIDGA.zso?s=isNew/desc/goLiveDate/desc/recentSalesStyle/desc/,"Accessories,Hats,Earmuffs and Headbands,Men",Men's Earmuffs and Headbands,True
https://www.6pm.com/men-trucker-hats/COfWARCJ1wEY9ewBwAEC4gIEAQIDGA.zso?s=isNew/desc/goLiveDate/desc/recentSalesStyle/desc/,"Accessories,Hats,Trucker Hats,Men",Men's Trucker Hats,True
https://www.6pm.com/men-fedoras/COfWARCJ1wEY-OwBwAEC4gIEAQIDGA.zso?s=isNew/desc/goLiveDate/desc/recentSalesStyle/desc/,"Accessories,Hats,Fedoras,Men",Men's Fedoras,True
https://www.6pm.com/men-cadet-hats-and-newsboys/COfWARCJ1wEY8ewBwAEC4gIEAQIDGA.zso?s=isNew/desc/goLiveDate/desc/recentSalesStyle/desc/,"Accessories,Hats,Cadet Hats and Newsboys,Men",Men's Cadet Hats and Newsboys,True
https://www.6pm.com/men-baseball-caps/COfWARCJ1wEY7uwBwAEC4gIEAQIDGA.zso?s=isNew/desc/goLiveDate/desc/recentSalesStyle/desc/,"Accessories,Hats,Baseball Caps,Men",Men's Baseball Caps,True
https://www.6pm.com/men-strands/CK7XARC12QEYyNkBwAEC4gIEAQIDGA.zso?s=isNew/desc/goLiveDate/desc/recentSalesStyle/desc/,"Jewelry,Necklaces,Strands,Men",Men's Strands,True
https://www.6pm.com/ban-do-women-beach-towels/CLDXARDO2QEY9dkBWgKKJ8ABAeICBQECAwsY.zso?s=isNew/desc/goLiveDate/desc/recentSalesStyle/desc/,"Sporting Goods,Swim & Surf,Beach Towels,Ban.do,Women",Women's ban.do Beach Towels,True
https://www.6pm.com/ugg-men-earmuffs-and-headbands/COfWARCJ1wEY8-wBWgKgAsABAuICBQECAwsY.zso?s=isNew/desc/goLiveDate/desc/recentSalesStyle/desc/,"Accessories,Hats,Earmuffs and Headbands,UGG,Men",Men's UGG Earmuffs and Headbands,True
https://www.6pm.com/dale-of-norway-men-earmuffs-and-headbands/COfWARCJ1wEY8-wBWgK3D8ABAuICBQECAwsY.zso?s=isNew/desc/goLiveDate/desc/recentSalesStyle/desc/,"Accessories,Hats,Earmuffs and Headbands,Dale of Norway,Men",Men's Dale of Norway Earmuffs and Headbands,True
https://www.6pm.com/men-sun-hats/COfWARCJ1wEY-ewBegL4BIIBA-TxBMABAuICBQECAxgP.zso?s=isNew/desc/goLiveDate/desc/recentSalesStyle/desc/,"Accessories,Hats,Sun Hats,Men,One Size",Men's One Size Size Sun Hats,True
https://www.6pm.com/men-baseball-caps/COfWARCJ1wEY7uwBegL4BIIBA-TxBMABAuICBQECAxgP.zso?s=isNew/desc/goLiveDate/desc/recentSalesStyle/desc/,"Accessories,Hats,Baseball Caps,Men,One Size",Men's One Size Size Baseball Caps,True
https://www.6pm.com/boys-trail-running-shoes/CK_XARC81wEY0O4BIOzuAcABBOICBQECAwQY.zso?s=isNew/desc/goLiveDate/desc/recentSalesStyle/desc/,"Shoes,Sneakers & Athletic Shoes,Running Shoes,Trail Running Shoes,Boys",Boy's Trail Running Shoes,True
https://www.6pm.com/boys-road-running-shoes/CK_XARC81wEY0O4BIOruAcABBOICBQECAwQY.zso?s=isNew/desc/goLiveDate/desc/recentSalesStyle/desc/,"Shoes,Sneakers & Athletic Shoes,Running Shoes,Road Running Shoes,Boys",Boy's Road Running Shoes,True
https://www.6pm.com/alex-and-ani-men-strands/CK7XARC12QEYyNkBWgLTH8ABAuICBQECAwsY.zso?s=isNew/desc/goLiveDate/desc/recentSalesStyle/desc/,"Jewelry,Necklaces,Strands,Alex and Ani,Men",Men's Alex and Ani Strands,True
https://www.6pm.com/men-trucker-hats/COfWARCJ1wEY9ewBegL4BIIBA-TxBMABAuICBQECAxgP.zso?s=isNew/desc/goLiveDate/desc/recentSalesStyle/desc/,"Accessories,Hats,Trucker Hats,Men,One Size",Men's One Size Size Trucker Hats,True
https://www.6pm.com/boys-shearling-style-boots/CK_XARCz1wEY1ewBwAEE4gIEAQIDGA.zso?s=isNew/desc/goLiveDate/desc/recentSalesStyle/desc/,"Shoes,Boots,Shearling Style Boots,Boys",Boy's Shearling Style Boots,True
https://www.6pm.com/boys-flip-flops/CK_XARC51wEYru4BwAEE4gIEAQIDGA.zso?s=isNew/desc/goLiveDate/desc/recentSalesStyle/desc/,"Shoes,Sandals,Flip Flops,Boys",Boy's Flip Flops,True
https://www.6pm.com/boys-motorcycle-boots/CK_XARCz1wEY3ewBwAEE4gIEAQIDGA.zso?s=isNew/desc/goLiveDate/desc/recentSalesStyle/desc/,"Shoes,Boots,Motorcycle Boots,Boys",Boy's Motorcycle Boots,True
https://www.6pm.com/boys-dress-boots/CK_XARCz1wEYoe0BwAEE4gIEAQIDGA.zso?s=isNew/desc/goLiveDate/desc/recentSalesStyle/desc/,"Shoes,Boots,Dress Boots,Boys",Boy's Dress Boots,True
https://www.6pm.com/boys-flat-sandals/CK_XARC51wEY7e0BwAEE4gIEAQIDGA.zso?s=isNew/desc/goLiveDate/desc/recentSalesStyle/desc/,"Shoes,Sandals,Flat Sandals,Boys",Boy's Flat Sandals,True
https://www.6pm.com/boys-ankle-boots-and-booties/CK_XARCz1wEYxuwBwAEE4gIEAQIDGA.zso?s=isNew/desc/goLiveDate/desc/recentSalesStyle/desc/,"Shoes,Boots,Ankle Boots and Booties,Boys",Boy's Ankle Boots and Booties,True
https://www.6pm.com/boys-mid-calf-boots/CK_XARCz1wEY0uwBwAEE4gIEAQIDGA.zso?s=isNew/desc/goLiveDate/desc/recentSalesStyle/desc/,"Shoes,Boots,Mid Calf Boots,Boys",Boy's Mid Calf Boots,True
https://www.6pm.com/boys-chelsea-boots/CK_XARCz1wEYx-wBwAEE4gIEAQIDGA.zso?s=isNew/desc/goLiveDate/desc/recentSalesStyle/desc/,"Shoes,Boots,Chelsea Boots,Boys",Boy's Chelsea Boots,True
https://www.6pm.com/boys-lace-up-boots/CK_XARCz1wEY0ewBwAEE4gIEAQIDGA.zso?s=isNew/desc/goLiveDate/desc/recentSalesStyle/desc/,"Shoes,Boots,Lace Up Boots,Boys",Boy's Lace Up Boots,True
https://www.6pm.com/boys-chukka-boots/CK_XARCz1wEYyOwBwAEE4gIEAQIDGA.zso?s=isNew/desc/goLiveDate/desc/recentSalesStyle/desc/,"Shoes,Boots,Chukka Boots,Boys",Boy's Chukka Boots,True
